class_id,common_name,count
331,Neutrophils.hypersegmented [#/volume] in Blood by Manual count,11
332,CD14 cells/cells in Bone marrow,11
333,pH of Urine,10
334,Acetone [Presence] in Serum or Plasma,10
335,Pencil cells [Presence] in Blood by Light microscopy,10
336,Phosphate [Mass/volume] in Urine,10
337,CD2 cells/cells in Body fluid,10
338,CD23 cells/cells in Body fluid,10
339,CD235a cells/cells in Blood,10
340,CD13 cells/cells in Bone marrow,10
341,HLA-DR+ cells/cells in Bone marrow,10
342,Deprecated CD8 cells/100 cells in Blood,10
343,CD23 cells/cells in Bone marrow,10
344,Bilirubin.total [Mass/volume] in Pleural fluid,10
345,Albumin [Mass/volume] in Urine,9
346,Iron.microscopic observation [Identifier] in Bone marrow by Potassium ferrocyanide stain,9
347,Amylase [Enzymatic activity/volume] in Urine,9
348,CD11c cells/cells in Bone marrow,9
349,CD33 cells/cells in Bone marrow,9
350,CD34 cells/cells in Bone marrow,9
351,Leukocytes [#/volume] in Blood,9
352,carBAMazepine [Mass/volume] in Serum or Plasma,9
353,Smooth muscle Ab [Presence] in Serum,9
354,CD5 cells/cells in Body fluid,8
355,CD7 cells/cells in Body fluid,8
356,Testosterone [Mass/volume] in Serum or Plasma,8
357,Lymphocytes [#/volume] in Blood,8
358,Albumin [Mass/volume] in Body fluid,8
359,Porphobilinogen [Presence] in Urine,7
360,Eosinophils [#/volume] in Blood,7
361,CD64 cells/cells in Bone marrow,7
362,Platelet clump [Presence] in Blood by Automated count,7
363,Viscosity of Serum,6
364,CD3 cells/cells in Body fluid,6
365,Choriogonadotropin [Moles/volume] in Serum or Plasma,6
366,CD117 cells/cells in Bone marrow,6
367,CD41 cells/cells in Bone marrow,6
368,CD3 cells/cells in Blood,6
369,Sirolimus [Mass/volume] in Blood,6
370,Glucose [Mass/volume] in Body fluid,6
371,Triglyceride [Mass/volume] in Body fluid,6
372,Oval macrocytes [Presence] in Blood by Light microscopy,6
373,Casts [#/area] in Urine sediment by Microscopy low power field,5
374,Parasite identified in Blood,5
375,HLA-DR+ cells/cells in Body fluid,5
376,CD235a cells/cells in Bone marrow,5
377,Bilirubin.total [Mass/volume] in Body fluid,5
378,Creatinine [Mass/volume] in Body fluid,4
379,Complement C3 [Mass/volume] in Serum or Plasma,4
380,Complement C4 [Mass/volume] in Serum or Plasma,4
381,Myoglobin [Presence] in Urine,4
382,pH of Body fluid,4
383,Creatinine [Mass/volume] in Pleural fluid,4
384,Protein [Mass/volume] in Body fluid,4
385,Chloride [Moles/volume] in Body fluid,3
386,Potassium [Moles/volume] in Body fluid,3
387,Sodium [Moles/volume] in Body fluid,3
388,FMC7 cells/cells in Body fluid,3
389,Urate [Mass/volume] in Urine,3
